id,title,description,imageUrl,playUrl,authorId,createdAt,updatedAt,tagcategory,xaccount,galleryImage1,galleryImage2,galleryImage3,galleryImage4
"cc4c1e10-ce79-4157-9138-7f59e14ef6fc","Dogfight Arena","Pilot WW2 planes in the most exciting and realistic dogfights!","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710493/grokade-screenshots/game_4_1741710492449_Dogfight_Arena_20250310_095322.png.png","https://fly.zullo.fun/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:30.327Z,2025-03-16T02:13:30.327Z,,,,,,
"cab0a67a-4967-4c77-901d-12970681ec85","Flight Simulator","Flight simulator with great visuals","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710580/grokade-screenshots/game_90_1741710579391_Flight_Simulator_20250310_095558.png.png","https://flyhi.netlify.app/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:31.786Z,2025-03-16T02:13:31.786Z,,,,,,
"44574953-604c-483e-a60a-b00c0ea3a7ef","fly.pieter","Racing game with AI-controlled opponents.","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710520/grokade-screenshots/game_42_1741710520017_Flight_Simulator_2025_20250310_095508.png.png","https://fly.pieter.com/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:31.948Z,2025-03-16T02:13:31.948Z,,,,,,
"d675ee59-bc51-4acb-a74a-2a51dca64cbe","Santa's Letter Quest","A fun browser game where Santa throws snowballs at ghosts to collect letters and win.","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710568/grokade-screenshots/game_80_1741710567833_Santa_s_Letter_Quest_20250310_095539.png.png","https://www.santasletterquest.com/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:34.607Z,2025-03-17T19:43:39.741Z,"Strategy,Puzzle",,,,,
"054009be-8fa3-4bdb-a853-57f5c355583f","PingPongAI","Ping Pong game","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710569/grokade-screenshots/game_66_1741710568864_PingPongAI_20250310_095514.png.png","https://pingpongai.vercel.app/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:33.759Z,2025-03-17T19:43:50.320Z,"Arcade",,,,,
"c654d714-e02a-48f8-aaed-93db25cd9d15","Mechazilla!","Land the booster into the arms of Mechazilla!","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710575/grokade-screenshots/game_1_1741710574986_thumbnail_1741629091698_750772407.png.png","https://land-the-booster.s13k.dev/v2.html","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:33.212Z,2025-03-16T02:13:33.212Z,,,,,,
"75d16c0b-6af6-482b-8333-44247339f9e8","Moonlanders","Fly anywhere in the world from your Browser, sim test built with AI assistance",,"https://m.moonlanders.net/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:33.450Z,2025-03-16T02:13:33.450Z,,,,,,
"f68e6594-fe6b-4779-8483-99c510580c6b","Space Combat","Fight In Space","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710577/grokade-screenshots/game_91_1741710577243_Space_Combat_20250310_095600.png.png","https://spacefightergame.com/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:35.081Z,2025-03-16T02:13:35.081Z,,,,,,
"d5fba96c-069e-4242-9206-3d145ccf899a","Hot Air Balloon","A visually stunning, multiplayer hot air balloon game set over the Alps.","https://res.cloudinary.com/dxow1rafl/image/upload/v1742171211/grokade-screenshots/Hot_Air_Balloon_Adventure_20250316_155638.png","https://www.hotairvibe.com/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T22:22:34.786Z,2025-03-17T19:45:02.707Z,"Sports,Adventure","https://x.com/SieversJosua","https://res.cloudinary.com/dxow1rafl/image/upload/v1742171211/grokade-screenshots/Hot_Air_Balloon_Adventure_20250316_155638.png","https://res.cloudinary.com/dxow1rafl/image/upload/v1742171531/grokade-screenshots/Hot_Air_Balloon_Adventure_20250310_203245.png","https://res.cloudinary.com/dxow1rafl/image/upload/v1742171532/grokade-screenshots/Hot_Air_Balloon_Adventure_20250310_202401.png",
"b492c7d1-f9c5-4b3b-a49b-eae4fe82bc83","Vibe Karting","Karting racing game","https://res.cloudinary.com/dxow1rafl/image/upload/v1741710476/grokade-screenshots/game_3_1741710475505_Vibe_Karting_20250310_095320.png.png","https://vibekarting.com/","a6c246ae-f84b-4c43-87b4-05db6b55afc3",2025-03-16T02:13:36.504Z,2025-03-16T02:13:36.504Z,,,,,,
