id,name,description,logoUrl,website,createdAt,updatedAt
"bbbc6247-782a-4f1b-8f60-cd5e3a2d69fd","GitHub","Development platform","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/github-logo.png","https://github.com",2025-03-16T02:05:31.002Z,2025-03-16T02:34:10.650Z
"20de7838-dc4a-4dc4-be04-300db35feb1d","npm","Package registry","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/npm-logo.png","https://www.npmjs.com",2025-03-16T02:05:31.525Z,2025-03-16T02:34:10.983Z
"7e702654-f6c1-45c3-af6c-13fad1f01923","Python","Programming language","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/python-logo.png","https://python.org",2025-03-16T02:05:31.678Z,2025-03-16T02:34:11.101Z
"f031ffa6-d698-44e3-8e55-8d07afb91bf0","Ubuntu","Operating system","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/ubuntu-logo.png","https://ubuntu.com",2025-03-16T02:05:31.831Z,2025-03-16T02:34:11.210Z
"af0d9214-fa29-4410-a635-3b691e573417","Laravel","Backend framework provider","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/laravel-logo.svg","https://laravel.com",2025-03-16T02:05:29.586Z,2025-03-16T02:34:09.649Z
"a7f9f60f-0ca9-448d-966f-884103f27c87","React","Frontend library partner","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/react-logo.png","https://reactjs.org",2025-03-16T02:05:29.902Z,2025-03-16T02:34:09.805Z
"d1926221-d51b-4e57-bf71-43175556c9f8","Node.js","Server runtime environment","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/nodejs-logo.png","https://nodejs.org",2025-03-16T02:05:30.053Z,2025-03-16T02:34:09.910Z
"c3faa617-490e-4356-8a1c-3a18ea929e1b","AWS","Cloud infrastructure partner","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/aws-logo.png","https://aws.amazon.com",2025-03-16T02:05:30.217Z,2025-03-16T02:34:10.019Z
"b0081589-dc99-4c90-809a-13bc32fc99ea","DigitalOcean","Hosting services provider","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/digitalocean-logo.png","https://digitalocean.com",2025-03-16T02:05:30.392Z,2025-03-16T02:34:10.149Z
"ad66957f-8770-41c8-a88d-3ae7198bd944","MongoDB","Database solutions","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/mongodb-logo.png","https://mongodb.com",2025-03-16T02:05:30.544Z,2025-03-16T02:34:10.274Z
"d74600e3-64c7-43fd-a61b-3f51db746f5a","Stripe","Payment processing","https://res.cloudinary.com/dxow1rafl/image/upload/sponsors/stripe-logo.png","https://stripe.com",2025-03-16T02:05:30.697Z,2025-03-16T02:34:10.418Z
"5c4420bd-641f-4dd1-872b-3427552fad6c","Docker","Container platform","https://cdn4.iconfinder.com/data/icons/logos-and-brands/512/97_Docker_logo_logos-512.png","https://docker.com",2025-03-16T02:05:31.178Z,2025-03-16T02:40:47.015Z
"66f36e27-f85c-4e3d-a2e9-1ee5ab23623c","Google Cloud","Cloud services partner","https://cdn.worldvectorlogo.com/logos/google-cloud-1.svg","https://cloud.google.com",2025-03-16T02:05:30.850Z,2025-03-16T02:40:47.216Z
